id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,,
31587573,2014,01-11-2014,1062015,10,MORTGAGE,3,Low,71000,1,20000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.49,B,2,14.67,21436.82,20000,0,668.98,ulster,,
3731835,2013,01-04-2013,1072014,3,RENT,1,Low,53000,1,7000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.33,C,3,16.17,5605.55,2558.8,2000,240.37,ulster,,
34603317,2014,01-11-2014,1122015,0.5,RENT,1,Low,77600,1,28000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.31,C,3,13.02,12473.34,8764.67,0,961.2,cannught,,
1329220,2012,01-06-2012,1022014,4,RENT,1,Low,50000,1,9250,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,24.4,10266.65,9250,0,293.72,cannught,,
388441,2009,01-03-2009,1042012,2,RENT,1,Low,76344,1,5000,36 months,1,INDIVIDUAL,1,house,12,Low,1,Good Loan,0,9.63,A,1,8.63,5776.13,5000,0,160.48,munster,,
601653,2010,01-10-2010,1112013,7,RENT,1,Low,86502,1,8000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.36,B,2,6.12,9341.04,8000,0,259.5,ulster,,
8316344,2013,01-11-2013,1012016,3,MORTGAGE,3,Medium,135000,2,30000,36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,9.99,B,2,6.98,25164.88,20750.2,0,967.88,munster,,
37177116,2014,01-12-2014,1012016,1,RENT,1,Medium,130000,2,9000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.03,A,1,12.66,3554.93,3064.34,0,273.92,ulster,,
8559273,2013,01-11-2013,1012016,3,RENT,1,Medium,112000,2,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,26.85,8527.39,6883.84,0,327.34,leinster,,
3355608,2013,01-02-2013,1072013,10,MORTGAGE,3,Low,54240,1,16000,60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,23.28,F,6,30.29,17521.52,16000,0,453.63,leinster,,
506486,2010,01-04-2010,1082011,10,MORTGAGE,3,Low,95000,1,15000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.88,A,1,9.44,16212.99,15000,0,469.21,cannught,,
6114929,2013,01-08-2013,1012016,7,MORTGAGE,3,Low,80000,1,30000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.78,C,3,9.84,21498.7,11428.53,0,742.04,Northern-Irl,,
1431600,2012,01-08-2012,1082015,5,MORTGAGE,3,Medium,105000,2,20000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.33,C,3,22.34,24717.30386,20000,0,686.77,leinster,,
29795517,2014,01-10-2014,1012016,6.05,MORTGAGE,3,Low,28500,1,7000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.61,D,4,9.77,3665.33,2527.77,0,244.76,leinster,,
28703129,2014,01-10-2014,1012015,10,OWN,2,Low,40000,1,4000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,18.24,D,4,14.01,435.3,256.76,0,145.1,ulster,,
1686184,2012,01-11-2012,1082015,2,RENT,1,Low,75000,1,15000,36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Bad Loan,1,19.05,D,4,17.82,18157.26,13391.56,13.95,550.22,ulster,,
9186105,2013,01-12-2013,1012016,4,RENT,1,Low,26000,1,8725,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,21,E,5,26.2,7920.4,5121.95,0,328.72,ulster,,
34863324,2014,01-11-2014,1012016,0.5,RENT,1,Medium,108000,2,17000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.67,B,2,18.07,7851.51,6431.78,0,537.99,ulster,,
883533,2011,01-09-2011,1122012,3,MORTGAGE,3,Low,62000,1,2000,36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,6.03,A,1,5.15,2117.32,2000,0,60.88,leinster,,
8615837,2013,01-11-2013,1072015,0.5,OWN,2,Low,52000,1,18000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Bad Loan,1,7.9,A,1,7.92,11263.46,9472.58,0,563.23,cannught,,
35003732,2014,01-12-2014,1012016,10,RENT,1,Low,95000,1,20000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.99,C,3,8.71,6167.44,3166.74,0,475.7,Northern-Irl,,
5954822,2013,01-07-2013,1042014,10,MORTGAGE,3,Medium,110000,2,10000,36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,18.25,D,4,14.41,11252.58652,10000,0,362.78,ulster,,
29664482,2014,01-10-2014,1012016,10,MORTGAGE,3,Low,85000,1,10000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,7.69,A,1,12.49,4674.83,3889.35,0,311.94,munster,,
6581651,2013,01-08-2013,1032015,10,MORTGAGE,3,Medium,120000,2,17450,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.71,B,2,28.72,19535.79399,17450,0,560.69,cannught,,
37600268,2014,01-12-2014,1012015,3,MORTGAGE,3,Low,50000,1,4000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.86,D,4,26.71,4096.27,4000,0,144.33,leinster,,
7698235,2013,01-10-2013,1012016,9,RENT,1,Low,60000,1,10000,36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,15.61,C,3,16.6,9440.11,7048.23,0,349.65,Northern-Irl,,
5864625,2013,01-07-2013,1092014,3,RENT,1,Low,44720,1,7000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,18.85,D,4,11.73,2530.36,1101.4,0,181.01,leinster,,
5779070,2013,01-07-2013,1012016,5,MORTGAGE,3,Medium,160000,2,35000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,21.98,E,5,15.17,28987.47,12849.73,0,966.27,Northern-Irl,,
